Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	S	B	T	=
Pal_Clear	ROM	0000116A	0000001E			R	.	.	.	.	.	.	.
Pal_Load	ROM	00001188	00000026			R	.	.	.	.	.	.	.
Pal_Load2	ROM	000011AE	00000020	00000000		R	.	.	.	.	.	.	.
Pal_Load3	ROM	000011CE	00000030			R	.	.	.	.	.	.	.
IsPalleteEqual	ROM	000011FE	00000018			R	.	.	.	.	.	.	.
Pal_Fill	ROM	00001216	0000002C			R	.	.	.	.	.	.	.
Pal_fade_to_black	ROM	00001242	00000052			R	.	.	.	.	.	.	.
sub_1294	ROM	00001294	00000012			R	.	.	.	.	.	.	.
sub_12A6	ROM	000012A6	00000050			R	.	.	.	.	.	.	.
sub_12F6	ROM	000012F6	00000060			R	.	.	.	.	.	.	.
ClearPaletteLine	ROM	00001356	00000028			R	.	.	.	.	.	.	.
CopyPaletteFrom	ROM	0000137E	0000002A			R	.	.	.	.	.	.	.
CopyPaletteTo	ROM	000013A8	00000024			R	.	.	.	.	.	.	.
sub_13CC	ROM	000013CC	0000005C			R	.	.	.	.	.	.	.
sub_1428	ROM	00001428	00000068			R	.	.	.	.	.	.	.
sub_1490	ROM	00001490	00000088			R	.	.	.	.	.	.	.
sub_153C	ROM	0000153C	00000016			R	.	.	.	.	.	.	.
sub_1552	ROM	00001552	00000014			R	.	.	.	.	.	.	.
sub_1566	ROM	00001566	00000012			R	.	.	.	.	.	.	.
sub_1578	ROM	00001578	00000016			R	.	.	.	.	.	.	.
sub_158E	ROM	0000158E	00000022			R	.	.	.	.	.	.	.
sub_15B0	ROM	000015B0	00000034			R	.	.	.	.	.	.	.
sub_15E4	ROM	000015E4	00000036			R	.	.	.	.	.	.	.
sub_161A	ROM	0000161A	00000046			R	.	.	.	.	.	.	.
sub_16BC	ROM	000016BC	00000012			R	.	.	.	.	.	.	.
sub_16CE	ROM	000016CE	00000034			R	.	.	.	.	.	.	.
CreateWindowPlane	ROM	00001702	00000026			R	.	.	.	.	.	.	.
sub_1728	ROM	00001728	00000026			R	.	.	.	.	.	.	.
sub_174E	ROM	0000174E	00000026			R	.	.	.	.	.	.	.
sub_1774	ROM	00001774	00000026			R	.	.	.	.	.	.	.
Setup_Scroll	ROM	0000179A	00000024			R	.	.	.	.	.	.	.
sub_17BE	ROM	000017BE	00000036			R	.	.	.	.	.	.	.
sub_17F4	ROM	000017F4	00000038			R	.	.	.	.	.	.	.
sub_186C	ROM	0000186C	00000026			R	.	.	.	.	.	.	.
sub_1892	ROM	00001892	0000002C			R	.	.	.	.	.	.	.
sub_18BE	ROM	000018BE	00000038			R	.	.	.	.	.	.	.
sub_18F6	ROM	000018F6	00000018			R	.	.	.	.	.	.	.
sub_197A	ROM	0000197A	0000007E			R	.	.	.	.	.	.	.
sub_19F8	ROM	000019F8	00000012			R	.	.	.	.	.	.	.
sub_1A0A	ROM	00001A0A	0000001E			R	.	.	.	.	.	.	.
sub_1A28	ROM	00001A28	00000026			R	.	.	.	.	.	.	.
DMA_Queue	ROM	00001A4E	0000003C			R	.	.	.	.	.	.	.
sub_1A8A	ROM	00001A8A	00000032			R	.	.	.	.	.	.	.
VInt_Sub	ROM	00001AD8	00000112			R	.	.	.	.	.	.	.
ConvASCII2VRAM	ROM	00001D2A	0000001E	00000000		R	.	.	.	.	.	.	.
sub_1DC8	ROM	00001DC8	0000002A			R	.	.	.	.	.	.	.
sub_1DF2	ROM	00001DF2	0000003A			R	.	.	.	.	.	.	.
sub_1E2C	ROM	00001E2C	000000A0			R	.	.	.	.	.	.	.
sub_1F10	ROM	00001F10	0000004E			R	.	.	.	.	.	.	.
sub_1F68	ROM	00001F68	000000DA			R	.	.	.	.	.	.	.
sub_20E0	ROM	000020E0	00000060			R	.	.	.	.	.	.	.
sub_215C	ROM	0000215C	00000074			R	.	.	.	.	.	.	.
sub_222E	ROM	0000222E	000000B0			R	.	.	.	.	.	.	.
sub_233C	ROM	0000233C	00000078			R	.	.	.	.	.	.	.
sub_23B4	ROM	000023B4	00000046			R	.	.	.	.	.	.	.
sub_2402	ROM	00002402	000000B4			R	.	.	.	.	.	.	.
sub_25D8	ROM	000025D8	00000018			R	.	.	.	.	.	.	.
sub_25F8	ROM	000025F8	0000004C			R	.	.	.	.	.	.	.
d1_Modulo_d0	ROM	0000264C	0000000E			R	.	.	.	.	.	.	.
sub_265A	ROM	0000265A	00000018			R	.	.	.	.	.	.	.
Get_IntMask	ROM	00002674	0000000C			R	.	.	.	.	.	.	.
Set_IntMask	ROM	00002680	00000022			R	.	.	.	.	.	.	.
Enable_Ints	ROM	000026A2	00000006			R	.	.	.	.	.	.	.
Disable_Ints	ROM	000026A8	00000006			R	.	.	.	.	.	.	.
ResetGame	ROM	000026AE	0000000E			R	.	.	.	.	.	.	.
sub_26BC	ROM	000026BC	00000016			R	.	.	.	.	.	.	.
sub_26D2	ROM	000026D2	00000014			R	.	.	.	.	.	.	.
sub_26E6	ROM	000026E6	00000010			R	.	.	.	.	.	.	.
sub_2708	ROM	00002708	00000008			R	.	.	.	.	.	.	.
sub_2710	ROM	00002710	00000016			R	.	.	.	.	.	.	.
Init_Obj_Linked_List_In_Oder	ROM	00002728	0000002E	00000000		R	.	.	.	.	.	.	.
sub_2756	ROM	00002756	00000010			R	.	.	.	.	.	.	.
sub_278C	ROM	0000278C	0000000E			R	.	.	.	.	.	.	.
sub_279C	ROM	0000279C	00000012			R	.	.	.	.	.	.	.
sub_27AE	ROM	000027AE	00000014			R	.	.	.	.	.	.	.
sub_27C2	ROM	000027C2	0000002E			R	.	.	.	.	.	.	.
sub_27F0	ROM	000027F0	0000003C			R	.	.	.	.	.	.	.
sub_282C	ROM	0000282C	000000A0			R	.	.	.	.	.	.	.
sub_28CC	ROM	000028CC	00000030			R	.	.	.	.	.	.	.
sub_28FC	ROM	000028FC	00000028			R	.	.	.	.	.	.	.
sub_2924	ROM	00002924	00000024			R	.	.	.	.	.	.	.
sub_2978	ROM	00002978	00000024			R	.	.	.	.	.	.	.
Game_Startup_0	ROM	00083700	0000000C			R	.	.	.	.	.	.	.
sub_8370C	ROM	0008370C	0000034E			R	.	.	.	.	.	.	.
sub_83B08	ROM	00083B08	0000023C			R	.	.	.	.	.	.	.
sub_83D44	ROM	00083D44	0000006A			R	.	.	.	.	.	.	.
sub_83DAE	ROM	00083DAE	00000098			R	.	.	.	.	.	.	.
sub_83E46	ROM	00083E46	0000009E			R	.	.	.	.	.	.	.
sub_83EE4	ROM	00083EE4	00000020			R	.	.	.	.	.	.	.
sub_83F04	ROM	00083F04	00000034			R	.	.	.	.	.	.	.
sub_83F38	ROM	00083F38	0000003A			R	.	.	.	.	.	.	.
sub_83F72	ROM	00083F72	0000004C			R	.	.	.	.	.	.	.
sub_83FBE	ROM	00083FBE	0000004C			R	.	.	.	.	.	.	.
nullsub_8	ROM	0008400A	00000002			R	.	.	.	.	.	.	.
sub_8400C	ROM	0008400C	00000012			R	.	.	.	.	.	.	.
sub_8401E	ROM	0008401E	00000056			R	.	.	.	.	.	.	.
sub_84074	ROM	00084074	0000009C			R	.	.	.	.	.	.	.
sub_84110	ROM	00084110	00000146			R	.	.	.	.	.	.	.
sub_84256	ROM	00084256	00000162			R	.	.	.	.	.	.	.
sub_843B8	ROM	000843B8	00000050			R	.	.	.	.	.	.	.
sub_84408	ROM	00084408	00000050			R	.	.	.	.	.	.	.
sub_84458	ROM	00084458	000000A8			R	.	.	.	.	.	.	.
sub_84500	ROM	00084500	00000732			R	.	.	.	.	.	.	.
sub_84C32	ROM	00084C32	000000B6			R	.	.	.	.	.	.	.
sub_84CE8	ROM	00084CE8	000002E4			R	.	.	.	.	.	.	.
sub_85918	ROM	00085918	000002C2			R	.	.	.	.	.	.	.
sub_85BDA	ROM	00085BDA	000001A8			R	.	.	.	.	.	.	.
sub_85D82	ROM	00085D82	00000158			R	.	.	.	.	.	.	.
sub_85EDA	ROM	00085EDA	00000084	00000030		R	.	.	.	.	B	.	.
sub_85F5E	ROM	00085F5E	0000001C			R	.	.	.	.	.	.	.
LaunchDemos2	ROM	00085F7A	00000626	00000050		R	.	.	.	.	B	.	.
sub_865A0	ROM	000865A0	00000038			R	.	.	.	.	.	.	.
sub_865D8	ROM	000865D8	000002F4			R	.	.	.	.	.	.	.
sub_868CC	ROM	000868CC	00000102			R	.	.	.	.	.	.	.
sub_869CE	ROM	000869CE	00000058			R	.	.	.	.	.	.	.
sub_86A26	ROM	00086A26	000000AE			R	.	.	.	.	.	.	.
sub_86B6C	ROM	00086B6C	0000003A			R	.	.	.	.	.	.	.
Game_Startup	ROM	00086BA6	00000152			R	.	.	.	.	.	.	.
Title_Screen	ROM	00086CF8	0000017A			R	.	.	.	.	.	.	.
Homebay_Celebration	ROM	00086E72	00000120			R	.	.	.	.	.	.	.
sub_86F92	ROM	00086F92	00000096			R	.	.	.	.	.	.	.
sub_87028	ROM	00087028	000004DC			R	.	.	.	.	.	.	.
sub_87504	ROM	00087504	0000006E			R	.	.	.	.	.	.	.
sub_87572	ROM	00087572	00000084			R	.	.	.	.	.	.	.
sub_875F6	ROM	000875F6	00000084			R	.	.	.	.	.	.	.
sub_8767A	ROM	0008767A	00000028			R	.	.	.	.	.	.	.
sub_876A2	ROM	000876A2	000000E4	00000018		R	.	.	.	.	B	.	.
sub_87786	ROM	00087786	000003B0	00000030		R	.	.	.	.	B	.	.
sub_87B38	ROM	00087B38	0000025A	00000008		R	.	.	.	.	.	.	.
sub_87D92	ROM	00087D92	00000050	00000008		R	.	.	.	.	.	.	.
